TimeGenerated,AwsEventId,EventName,EventSource,EventTypeName,EventVersion,AWSRegion,SourceIpAddress,UserIdentityType,UserIdentityUserName,UserIdentityArn,UserIdentityAccountId,UserIdentityPrincipalid,UserIdentityAccessKeyId,UserIdentityInvokedBy,UserIdentityUserId,UserAgent,ErrorCode,ErrorMessage,RequestParameters,ResponseElements,ReadOnly,ManagementEvent,RecipientAccountId,Category,AdditionalEventData,Resources,SourceSystem,OperationName,Type,SessionCreationDate,SessionIssuerAccountId,SessionIssuerArn,SessionIssuerType,SessionIssuerUserName,SessionMfaAuthenticated,SharedEventId,VpcEndpointId,SourcePort,DestinationPort,IpProtocol,CidrIp,EC2RoleDelivery,ServiceEventDetails,TlsVersion,CipherSuite,ClientProvidedHostHeader,APIVersion,AwsRequestId_,UserIdentityStoreArn
2025-12-15T08:12:33Z,a1b2c3d4-e5f6-7890-abcd-ef1234567890,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,198.51.100.23,IAMUser,admin-user,arn:aws:iam::123456789012:user/admin-user,123456789012,AIDACKCEVSQ6C2EXAMPLE,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,,,"{""ConsoleLogin"": ""Success""}",False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""Yes"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,abc12345-6789-0def-ghij-klmnopqrstuv,
2025-12-15T08:15:47Z,b2c3d4e5-f6a7-8901-bcde-f12345678901,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Failed authentication,Failed authentication,,,False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,bcd23456-7890-1efg-hijk-lmnopqrstuvw,
2025-12-15T08:16:02Z,c3d4e5f6-a7b8-9012-cdef-123456789012,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Failed authentication,Failed authentication,,,False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,cde34567-8901-2fgh-ijkl-mnopqrstuvwx,
2025-12-15T08:16:19Z,d4e5f6a7-b8c9-0123-defa-234567890123,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Failed authentication,Failed authentication,,,False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,def45678-9012-3ghi-jklm-nopqrstuvwxy,
2025-12-15T08:17:05Z,e5f6a7b8-c9d0-1234-efab-345678901234,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,,,,"{""ConsoleLogin"": ""Success""}",False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,efg56789-0123-4hij-klmn-opqrstuvwxyz,
2025-12-15T09:22:14Z,f6a7b8c9-d0e1-2345-fabc-456789012345,CreateUser,iam.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,AKIAIOSFODNN7EXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""userName"": ""backdoor-admin""}","{""user"": {""userName"": ""backdoor-admin"", ""userId"": ""AIDACKCEVSQ6C9EXAMPLE"", ""arn"": ""arn:aws:iam::123456789012:user/backdoor-admin"", ""createDate"": ""2025-12-15T09:22:14Z""}}",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,iam.amazonaws.com,,fab67890-1234-5ijk-lmno-pqrstuvwxyza,
2025-12-15T09:22:41Z,a7b8c9d0-e1f2-3456-abcd-567890123456,CreateAccessKey,iam.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,AKIAIOSFODNN7EXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""userName"": ""backdoor-admin""}","{""accessKey"": {""accessKeyId"": ""AKIAI44QH8DHBEXAMPLE"", ""status"": ""Active"", ""userName"": ""backdoor-admin"", ""createDate"": ""2025-12-15T09:22:41Z""}}",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,iam.amazonaws.com,,gab78901-2345-6jkl-mnop-qrstuvwxyzab,
2025-12-15T09:23:08Z,b8c9d0e1-f2a3-4567-bcde-678901234567,AttachUserPolicy,iam.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,AKIAIOSFODNN7EXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""userName"": ""backdoor-admin"", ""policyArn"": ""arn:aws:iam::aws:policy/AdministratorAccess""}","",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,iam.amazonaws.com,,hab89012-3456-7klm-nopq-rstuvwxyzabc,
2025-12-15T09:45:33Z,c9d0e1f2-a3b4-5678-cdef-789012345678,CreateLoginProfile,iam.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,AKIAIOSFODNN7EXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""userName"": ""backdoor-admin"", ""passwordResetRequired"": false}","{""loginProfile"": {""userName"": ""backdoor-admin"", ""createDate"": ""2025-12-15T09:45:33Z""}}",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,iam.amazonaws.com,,iab90123-4567-8lmn-opqr-stuvwxyzabcd,
2025-12-15T10:05:12Z,d0e1f2a3-b4c5-6789-defa-890123456789,StopLogging,cloudtrail.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""name"": ""management-events-trail""}","{""StopLoggingResponse"": {}}",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,cloudtrail.amazonaws.com,,jab01234-5678-9mno-pqrs-tuvwxyzabcde,
2025-12-15T10:05:58Z,e1f2a3b4-c5d6-7890-efab-901234567890,DeleteTrail,cloudtrail.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""name"": ""management-events-trail""}","{""DeleteTrailResponse"": {}}",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,cloudtrail.amazonaws.com,,kab12345-6789-0nop-qrst-uvwxyzabcdef,
2025-12-15T10:30:22Z,f2a3b4c5-d6e7-8901-fabc-012345678901,RunInstances,ec2.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""instanceType"": ""c5.4xlarge"", ""imageId"": ""ami-0abcdef1234567890"", ""minCount"": 5, ""maxCount"": 5, ""subnetId"": ""subnet-0bb1c79de3EXAMPLE""}","{""instancesSet"": {""items"": [{""instanceId"": ""i-0a1b2c3d4e5f67890""}, {""instanceId"": ""i-0b2c3d4e5f6a78901""}, {""instanceId"": ""i-0c3d4e5f6a7b89012""}, {""instanceId"": ""i-0d4e5f6a7b8c90123""}, {""instanceId"": ""i-0e5f6a7b8c9d01234""}]}}",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,ec2.amazonaws.com,2016-11-15,lab23456-7890-1opq-rstu-vwxyzabcdefg,
2025-12-15T10:35:44Z,a3b4c5d6-e7f8-9012-abcd-123456789012,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""groupId"": ""sg-0a1b2c3d4e5f67890"", ""ipPermissions"": {""items"": [{""ipProtocol"": ""tcp"", ""fromPort"": 22, ""toPort"": 22, ""ipRanges"": {""items"": [{""cidrIp"": ""0.0.0.0/0""}]}}]}}","",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,22,22,tcp,0.0.0.0/0,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,ec2.amazonaws.com,2016-11-15,mab34567-8901-2pqr-stuv-wxyzabcdefgh,
2025-12-15T10:36:11Z,b4c5d6e7-f8a9-0123-bcde-234567890123,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""groupId"": ""sg-0a1b2c3d4e5f67890"", ""ipPermissions"": {""items"": [{""ipProtocol"": ""tcp"", ""fromPort"": 3389, ""toPort"": 3389, ""ipRanges"": {""items"": [{""cidrIp"": ""0.0.0.0/0""}]}}]}}","",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,3389,3389,tcp,0.0.0.0/0,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,ec2.amazonaws.com,2016-11-15,nab45678-9012-3qrs-tuvw-xyzabcdefghi,
2025-12-15T11:02:07Z,c5d6e7f8-a9b0-1234-cdef-345678901234,PutBucketPolicy,s3.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""bucketName"": ""company-sensitive-data"", ""bucketPolicy"": {""Version"": ""2012-10-17"", ""Statement"": [{""Effect"": ""Allow"", ""Principal"": ""*"", ""Action"": ""s3:GetObject"", ""Resource"": ""arn:aws:s3:::company-sensitive-data/*""}]}}","",False,True,123456789012,Management,,,"[{""accountId"": ""123456789012"", ""type"": ""AWS::S3::Bucket"", ""ARN"": ""arn:aws:s3:::company-sensitive-data""}]",CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,s3.amazonaws.com,,oab56789-0123-4rst-uvwx-yzabcdefghij,
